name;birthDate;isMarried;phoneNumber;salary
Nazar;2004-02-01;No;0965097943;27000
Oksana;2003-11-03;Yes;0965097944;25000,4
Olena;1978-05-05;Yes;0965097945;54000
Maria;2015-05-02;No;0965097946;15000
Semen;2012-12-22;No;0965097947;23444
Oleh;2010-11-09;No;0965097948;27000
Petro;2008-06-14;No;0965097949;100000000
Bohdan;2014-12-02;No;0965097950;27000
Semen;2016-05-06;No;0965097951;67000
Roman;2018-11-08;No;0965097952;56000
Yulia;2008-03-22;No;0965097953;49000
Nazar;2004-02-01;No;0965097954;14594052,46
Oksana;2003-11-03;Yes;0965097955;15505630,23
Olena;1978-05-05;Yes;0965097956;16417207,99
Maria;2015-05-02;No;0965097957;17328785,76
Semen;2012-12-22;No;0965097958;18240363,53
Oleh;2010-11-09;No;0965097959;19151941,29
Petro;2008-06-14;No;0965097960;20063519,06
Bohdan;2014-12-02;No;0965097961;20975096,83
Semen;2016-05-06;No;0965097962;21886674,6
Roman;2018-11-08;No;0965097963;22798252,36
Yulia;2008-03-22;No;0965097964;23709830,13
Nazar;2004-02-01;No;0965097965;24621407,9
Oksana;2003-11-03;Yes;0965097966;25532985,67
Olena;1978-05-05;Yes;0965097967;26444563,43
Maria;2015-05-02;No;0965097968;27356141,2
Semen;2012-12-22;No;0965097969;28267718,97
Oleh;2010-11-09;No;0965097970;29179296,73
Petro;2008-06-14;No;0965097971;30090874,5
Bohdan;2014-12-02;No;0965097972;31002452,27
